Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Latitude,Longitude
Costa Rica,1235961,715379649,9386,6653277,10.2735633,-84.0739102
Croatia,1273991,787666768,18273,12061919,45.3658443,15.6575209
Cuba,1114729,748665150,8530,5880552,23.0131338,-80.8328748
Curaçao,45817,28262312,302,194227,12.150201,-68.933415
Cyprus,660854,326333344,1364,777236,34.9823018,33.1451285
Czechia,4642698,2966805678,42810,33163555,49.7439047,15.3381061
Côte d’Ivoire,88335,67762170,835,610516,7.9897371,-5.5679458
Democratic People's Republic of Korea,0,0,0,0,40.3736611,127.0870417
Democratic Republic of the Congo,97409,67742456,1468,1201427,-2.9814344,23.8222636
Denmark,3414274,1817937030,8747,4850863,55.670249,10.3333283
Djibouti,15690,13557674,189,164743,11.5936903,43.1472724
